Rods	This is an example description
Cores	This is an example description2
Minicores	This is an example description3
Central Nuclei	This is an example description4
Caps	This is an example descriptio5
Hyaline Bodies	This is an example description6
CFTD	This is an example description7
Necklace Fibres	This is an example description8
Radial Sarcoplasmic Strands	This is an example description9
Feature n°10	This is an example description10
Feature n°11	This is an example description11
Feature n°12	This is an example description12
